t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
4.842,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.865,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.890,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.666,0.0,0.0,3.70
4.910,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
4.935,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
4.956,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
4.982,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
5.005,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
5.030,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
5.053,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
5.075,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
5.100,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.031,0.0,0.0,3.70
5.124,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.280,0.0,0.0,3.70
5.148,STOCK (your sticks),0,0.0,0.0,-0.0,51.2,51.283,0.0,0.0,3.70
5.169,STOCK (your sticks),0,0.0,0.0,-0.0,52.4,51.283,0.0,0.0,3.70
5.190,STOCK (your sticks),0,0.0,0.0,-0.0,53.6,51.283,0.0,0.0,3.70
5.212,STOCK (your sticks),0,0.0,0.0,-0.0,54.8,51.283,0.0,0.0,3.70
5.233,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.259,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.281,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.306,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.331,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.353,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.376,STOCK (your sticks),0,0.0,0.0,-0.0,55.0,51.258,0.0,0.0,3.70
5.401,STOCK (your sticks),0,0.0,0.0,-0.0,56.2,51.258,0.0,0.0,3.70
5.426,STOCK (your sticks),0,0.0,0.0,-0.0,57.4,51.258,0.0,0.0,3.70
5.447,STOCK (your sticks),0,0.0,0.0,-0.0,58.6,51.136,0.0,0.0,3.70
5.472,STOCK (your sticks),0,0.0,0.0,-0.0,59.8,51.136,0.0,0.0,3.70
5.497,STOCK (your sticks),0,0.0,0.0,-0.0,60.0,51.136,0.0,0.0,3.70
5.519,STOCK (your sticks),0,0.0,0.0,-0.0,60.0,51.136,0.0,0.0,3.70
5.544,STOCK (your sticks),0,0.0,0.0,-0.0,60.0,51.136,0.0,0.0,3.70
5.564,STOCK (your sticks),0,0.0,0.0,-0.0,61.2,51.136,0.0,0.0,3.70
5.589,STOCK (your sticks),0,0.0,0.0,-0.0,62.4,51.136,0.0,0.0,3.70
