timestep,walltime_sec,ep_rew_mean,ep_len_mean
13475840,3322.34,1450.3843,407.99
13496320,3328.24,1475.2349,404.73
13516800,3334.10,1484.5543,401.12
13537280,3340.42,1448.8287,403.80
13557760,3346.61,1437.0008,400.40
13578240,3352.39,1526.6106,406.33
13598720,3357.82,1476.7272,395.08
13619200,3363.18,1483.8622,392.59
13639680,3368.72,1574.9935,419.02
13660160,3373.93,1483.3623,408.04
13680640,3379.17,1534.7417,416.69
13701120,3384.55,1649.3189,429.70
13721600,3389.88,1471.9598,390.56
13742080,3395.28,1514.5740,415.40
13762560,3400.52,1502.6739,408.67
13783040,3405.78,1571.2199,406.54
13803520,3410.99,1598.8883,409.87
13824000,3416.17,1494.6319,393.44
13844480,3423.28,1536.0815,413.67
13864960,3428.42,1575.7275,430.13
13885440,3433.77,1429.0061,387.90
13905920,3439.11,1527.0142,417.61
13926400,3444.36,1587.3178,439.93
13946880,3450.85,1516.6177,421.19
13967360,3456.98,1543.9587,416.64
13987840,3463.05,1554.2783,407.82
14008320,3469.33,1599.5234,425.48
14028800,3475.65,1593.3961,422.80
14049280,3482.06,1525.8322,405.88
14069760,3488.30,1560.3758,418.50
14090240,3494.51,1604.2423,429.22
14110720,3500.64,1520.7902,404.80
14131200,3507.10,1525.3504,402.04
14151680,3513.34,1407.0490,383.80
14172160,3519.98,1377.1046,381.06
14192640,3525.94,1514.1314,406.23
14213120,3532.27,1490.5730,391.79
14233600,3539.22,1485.0621,390.75
14254080,3545.91,1519.7900,415.14
14274560,3552.94,1556.2078,418.95
14295040,3559.47,1510.1809,390.43
14315520,3566.50,1489.7004,393.68
14336000,3573.54,1517.6603,412.61
14356480,3580.98,1549.9020,434.29
14376960,3586.32,1412.4444,384.56
14397440,3591.63,1390.6050,369.86
14417920,3596.98,1543.0137,426.98
14438400,3602.16,1573.5652,426.59
14458880,3607.53,1499.5777,395.02
14479360,3612.94,1490.9891,411.01
14499840,3618.13,1490.0691,415.08
14520320,3623.18,1489.9921,398.65
14540800,3628.37,1585.3327,422.33
14561280,3633.59,1644.8010,436.97
14581760,3638.73,1616.9725,421.85
14602240,3643.79,1578.1259,416.07
14622720,3648.79,1572.9929,406.96
14643200,3653.92,1519.3387,407.39
14663680,3659.30,1470.2466,407.88
14684160,3664.42,1527.0613,413.43
14704640,3669.84,1474.2032,393.09
14725120,3674.93,1431.3034,376.48
14745600,3680.10,1598.8200,422.80
14766080,3685.30,1682.2094,432.53
14786560,3690.58,1598.8956,407.64
14807040,3695.66,1531.7543,410.74
14827520,3700.95,1538.9303,410.17
14848000,3706.04,1470.8419,399.05
14868480,3713.15,1403.3463,387.66
